Fecha,Predicción
2012-04-12,1140
2012-05-12,1100
2012-06-12,1102
2012-07-12,1146
2012-08-12,143
2012-09-12,1110
2012-10-12,1171
2012-11-12,1317
2012-12-12,1732
2012-12-13,1811
2012-12-14,1855
2012-12-15,562
2012-12-16,5
2012-12-17,1189
2012-12-18,1811
2012-12-19,1835
2012-12-20,1839
2012-12-21,1878
2012-12-22,563
2012-12-23,8
2012-12-24,1179
2012-12-25,1
2012-12-26,1628
2012-12-27,1763
2012-12-28,2121
2012-12-29,796
2012-12-30,14
2012-12-31,715
2013-01-01,1
2013-02-01,462
2013-03-01,479
2013-04-01,516
2013-05-01,414
2013-06-01,503
2013-07-01,3
2013-08-01,656
2013-09-01,535
2013-10-01,798
2013-11-01,794
2013-12-01,440
2013-01-13,3
2013-01-14,864
2013-01-15,1022
2013-01-16,1110
2013-01-17,1109
2013-01-18,1109
2013-01-19,286
2013-01-20,1
2013-01-21,796
2013-01-22,1022
2013-01-23,1109
2013-01-24,1109
2013-01-25,1118
2013-01-26,354
2013-01-27,1
2013-01-28,880
2013-01-29,1156
2013-01-30,1222
2013-01-31,1243
2013-01-02,741
2013-02-02,433
2013-03-02,433
2013-04-02,780
2013-05-02,822
2013-06-02,742
2013-07-02,858
2013-08-02,825
2013-09-02,793
2013-10-02,689
2013-11-02,628
2013-12-02,901
2013-02-13,1201
2013-02-14,1201
2013-02-15,1202
2013-02-16,316
2013-02-17,1
2013-02-18,809
2013-02-19,1049
2013-02-20,1202
2013-02-21,1202
2013-02-22,1202
2013-02-23,327
2013-02-24,1
2013-02-25,808
2013-02-26,1089
2013-02-27,1275
2013-02-28,1305
2013-01-03,768
2013-02-03,395
2013-03-03,611
2013-04-03,742
2013-05-03,827
2013-06-03,866
2013-07-03,801
2013-08-03,885
2013-09-03,773
2013-10-03,818
2013-11-03,797
2013-12-03,918
2013-03-13,1226
2013-03-14,1226
2013-03-15,1226
2013-03-16,328
2013-03-17,1
2013-03-18,826
2013-03-19,1053
2013-03-20,1226
2013-03-21,1226
2013-03-22,1226
2013-03-23,343
2013-03-24,1
2013-03-25,0
2013-03-26,1092
2013-03-27,1301
2013-03-28,4
2013-03-29,5
2013-03-30,432
2013-03-31,10
2013-01-04,779
2013-02-04,780
2013-03-04,842
2013-04-04,874
2013-05-04,997
2013-06-04,795
2013-07-04,845
2013-08-04,793
2013-09-04,778
2013-10-04,886
2013-11-04,920
2013-12-04,777
2013-04-13,367
2013-04-14,4
2013-04-15,844
2013-04-16,1054
2013-04-17,1226
2013-04-18,1226
2013-04-19,1226
2013-04-20,313
2013-04-21,1
2013-04-22,833
2013-04-23,1059
2013-04-24,1226
2013-04-25,1234
2013-04-26,1275
2013-04-27,412
2013-04-28,2
2013-04-29,1040
2013-04-30,1352
2013-01-05,36
2013-02-05,794
2013-03-05,814
2013-04-05,816
2013-05-05,651
2013-06-05,717
2013-07-05,804
2013-08-05,867
2013-09-05,880
2013-10-05,1132
2013-11-05,817
2013-12-05,799
2013-05-13,0
2013-05-14,1055
2013-05-15,1226
2013-05-16,1226
2013-05-17,1226
2013-05-18,341
2013-05-19,1
2013-05-20,837
2013-05-21,1054
2013-05-22,1226
2013-05-23,1226
2013-05-24,1227
2013-05-25,381
2013-05-26,2
2013-05-27,885
2013-05-28,1222
2013-05-29,1352
2013-05-30,1415
2013-05-31,1486
2013-01-06,460
2013-02-06,687
2013-03-06,2
2013-04-06,831
2013-05-06,831
2013-06-06,870
2013-07-06,1027
2013-08-06,778
2013-09-06,813
2013-10-06,70
2013-11-06,763
2013-12-06,836
2013-06-13,1226
2013-06-14,1226
2013-06-15,358
2013-06-16,3
2013-06-17,843
2013-06-18,1053
2013-06-19,1226
2013-06-20,1226
2013-06-21,1226
2013-06-22,352
2013-06-23,0
2013-06-24,839
2013-06-25,1080
2013-06-26,1273
2013-06-27,1327
2013-06-28,1447
2013-06-29,467
2013-06-30,10
2013-01-07,1
2013-02-07,798
2013-03-07,852
2013-04-07,783
2013-05-07,795
2013-06-07,803
2013-07-07,676
2013-08-07,784
2013-09-07,1150
2013-10-07,936
2013-11-07,912
2013-12-07,944
2013-07-13,381
2013-07-14,3
2013-07-15,854
2013-07-16,1054
2013-07-17,1226
2013-07-18,1226
2013-07-19,1226
2013-07-20,35
2013-07-21,0
2013-07-22,843
2013-07-23,1058
2013-07-24,1226
2013-07-25,1235
2013-07-26,1278
2013-07-27,436
2013-07-28,2
2013-07-29,1036
2013-07-30,1327
2013-07-31,1390
2013-01-08,775
2013-02-08,807
2013-03-08,794
2013-04-08,785
2013-05-08,791
2013-06-08,998
2013-07-08,7
2013-08-08,867
2013-09-08,1019
2013-10-08,831
2013-11-08,795
2013-12-08,997
2013-08-13,1083
2013-08-14,1226
2013-08-15,1226
2013-08-16,1226
2013-08-17,341
2013-08-18,0
2013-08-19,0
2013-08-20,1055
2013-08-21,1226
2013-08-22,1226
2013-08-23,1226
2013-08-24,354
2013-08-25,2
2013-08-26,862
2013-08-27,1145
2013-08-28,1349
2013-08-29,1375
2013-08-30,1465
2013-08-31,440
2013-01-09,726
2013-02-09,864
2013-03-09,894
2013-04-09,792
2013-05-09,887
2013-06-09,992
2013-07-09,739
2013-08-09,789
2013-09-09,858
2013-10-09,848
2013-11-09,1134
2013-12-09,895
2013-09-13,1226
2013-09-14,352
2013-09-15,3
2013-09-16,868
2013-09-17,1055
2013-09-18,1226
2013-09-19,1226
2013-09-20,1226
2013-09-21,338
2013-09-22,1
2013-09-23,862
2013-09-24,1060
2013-09-25,1235
2013-09-26,1273
2013-09-27,1345
2013-09-28,436
2013-09-29,5
2013-09-30,1133
2013-01-10,818
2013-02-10,514
2013-03-10,953
2013-04-10,835
2013-05-10,794
2013-06-10,768
2013-07-10,798
2013-08-10,1185
2013-09-10,802
2013-10-10,955
2013-11-10,1090
2013-12-10,783
2013-10-13,4
2013-10-14,0
2013-10-15,1052
2013-10-16,1226
2013-10-17,1226
2013-10-18,1226
2013-10-19,334
2013-10-20,1
2013-10-21,864
2013-10-22,1054
2013-10-23,1226
2013-10-24,1226
2013-10-25,1236
2013-10-26,376
2013-10-27,2
2013-10-28,957
2013-10-29,1302
2013-10-30,1438
2013-10-31,1461
2013-01-11,783
2013-02-11,528
2013-03-11,552
2013-04-11,1
2013-05-11,1045
2013-06-11,788
2013-07-11,925
2013-08-11,984
2013-09-11,649
2013-10-11,662
2013-11-11,1
2013-12-11,812
2013-11-13,1230
2013-11-14,1229
2013-11-15,1229
2013-11-16,338
2013-11-17,2
2013-11-18,875
2013-11-19,1062
2013-11-20,1228
2013-11-21,1228
2013-11-22,1229
2013-11-23,350
2013-11-24,1
2013-11-25,874
2013-11-26,1111
2013-11-27,1354
2013-11-28,1432
2013-11-29,1564
2013-11-30,625
2013-01-12,462
2013-02-12,1076
2013-03-12,1092
2013-04-12,1127
2013-05-12,1190
2013-06-12,1124
2013-07-12,1122
2013-08-12,1
2013-09-12,1133
2013-10-12,1100
2013-11-12,1167
2013-12-12,1731
2013-12-13,1844
2013-12-14,558
2013-12-15,5
2013-12-16,1242
2013-12-17,1774
2013-12-18,1813
2013-12-19,1822
2013-12-20,1868
2013-12-21,557
2013-12-22,1
2013-12-23,1248
2013-12-24,1639
2013-12-25,3
2013-12-26,1612
2013-12-27,1791
2013-12-28,805
2013-12-29,8
2013-12-30,1830
2013-12-31,793
2014-01-01,2
2014-02-01,330
